Point,PointYear,TransectNum,Grid,Stratum,Season,DATE,StratumYear,TransectVisitObserver,gc_shrub_50m,shrub_height_50m,gc_grass_50m,grass_height_50m,gc_forb_50m,gc_bare_50m,gc_litter_50m,gc_woody_50m,gc_tumbleweed_50m,gc_other_50m,gc_grass_nubs_50m,shrub_cover,primaryHabitat,gc_shrub_05m,shrub_height_05m,gc_grass_05m,grass_height_05m,gc_forb_05m,gc_bare_05m,gc_litter_05m,gc_woody_05m,gc_tumbleweed_05m,gc_other_05m,gc_grass_nubs_05m,grass_species_1,grass_species_1_pct,grass_species_2,grass_species_2_pct,GrassSpecies1ScientificName,GrassSpecies1CommonName,GrassSpecies1Code2,GrassSpecies1Code6,GrassSpecies2ScientificName,GrassSpecies2CommonName,GrassSpecies2Code2,GrassSpecies2Code6,ShrubLayerCode6_1,ShrubLayerSpeciesAbundance_1,ShrubLayerCommonName_1,ShrubLayerScientificName_1,ShrubLayerCode6_2,ShrubLayerSpeciesAbundance_2,ShrubLayerCommonName_2,ShrubLayerScientificName_2
HC11-106,2019-HC11-106,HC11-1,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,100,10,50,5,53,5,1,0,20,1,1,GR,5,50,5,55,1,73,5,1,0,10,0,6,50,19,45,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,NOLTEX,25,NA,Nolina texana,PROGLA,70,Honey Mesquite,Prosopis glandulosa
HC11-108,2019-HC11-108,HC11-1,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,10,75,10,55,5,58,5,1,0,10,1,5,GR,5,75,5,30,1,78,5,1,0,5,0,19,60,39,35,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Eriogonum sp.,NA,E2,ERI_SP,PARINC,50,Mariola,Parthenium incanum,LARTRI,35,Creosote,Larrea tridentata
HC11-202,2019-HC11-202,HC11-2,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,125,10,55,5,73,5,1,0,1,0,1,GR,5,100,10,5,1,82,1,0,0,1,0,19,70,6,25,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,15,Soaptree Yucca,Yucca elata,PROGLA,80,Honey Mesquite,Prosopis glandulosa
HC11-204,2019-HC11-204,HC11-2,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,75,20,60,1,58,5,1,0,5,5,5,GR,1,75,10,50,1,78,5,0,0,5,0,19,85,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NOLTEX,85,NA,Nolina texana,YUCELA,10,Soaptree Yucca,Yucca elata
HC11-206,2019-HC11-206,HC11-2,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,75,20,65,1,62,5,1,0,5,1,1,GR,1,50,20,60,1,68,5,0,0,5,0,19,60,37,35,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Eragrostis sp.,NA,E5,ERA_SP,NOLTEX,90,NA,Nolina texana,PROGLA,5,Honey Mesquite,Prosopis glandulosa
HC11-208,2019-HC11-208,HC11-2,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,100,20,75,5,62,5,1,0,1,1,1,GR,0,NA,10,65,1,86,1,1,0,1,0,6,70,37,25,Aristida sp.,Aristida sp,AR,ARI_SP,Eragrostis sp.,NA,E5,ERA_SP,NOLTEX,75,NA,Nolina texana,YUCELA,20,Soaptree Yucca,Yucca elata
HC11-302,2019-HC11-302,HC11-3,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,20,200,5,40,1,52,20,1,0,1,1,5,DS,1,125,1,40,0,83,10,0,0,0,5,19,90,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,90,Honey Mesquite,Prosopis glandulosa,ACA_SP,5,Acacia,Acacia sp.
HC11-304,2019-HC11-304,HC11-3,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,100,10,55,5,63,5,1,0,10,1,1,GR,1,50,5,55,1,87,1,0,0,5,0,19,90,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,60,Soaptree Yucca,Yucca elata,NOLTEX,35,NA,Nolina texana
HC11-306,2019-HC11-306,HC11-3,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,75,20,65,5,53,10,1,0,5,1,1,GR,1,75,20,60,5,63,5,1,0,5,0,6,80,19,15,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,NOLTEX,90,NA,Nolina texana,YUCELA,5,Soaptree Yucca,Yucca elata
HC11-308,2019-HC11-308,HC11-3,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,75,20,60,5,58,5,1,0,5,1,1,GR,1,75,20,55,1,71,5,0,0,1,1,6,75,19,20,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,NOLTEX,90,NA,Nolina texana,YUCELA,5,Soaptree Yucca,Yucca elata
HC1-202,2019-HC1-202,HC1-2,HC1,HC,2019,"sábado, 26 de enero de 2019",HC-2019,DPO,1,100,30,30,0,48,10,1,0,10,0,5,GR,1,75,40,25,0,44,5,0,0,10,0,19,99,11,1,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,DAS_SP,50,NA,Dasyochloa sp. ,NOLTEX,30,NA,Nolina texana
HC1-204,2019-HC1-204,HC1-2,HC1,HC,2019,"sábado, 26 de enero de 2019",HC-2019,DPO,1,100,40,45,0,48,5,0,0,5,1,1,GR,1,150,58,50,0,30,5,0,0,5,1,19,70,11,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,NOLTEX,60,NA,Nolina texana,YUCELA,30,Soaptree Yucca,Yucca elata
HC1-302,2019-HC1-302,HC1-3,HC1,HC,2019,"domingo, 27 de enero de 2019",HC-2019,DPO,1,50,30,35,0,58,5,1,0,5,0,5,GR,1,25,33,30,0,60,1,0,0,5,0,6,50,39,30,Aristida sp.,Aristida sp,AR,ARI_SP,Eriogonum sp.,NA,E2,ERI_SP,EPHTRI,50,Mormon Tea,Ephedra trifurca,NOLTEX,30,NA,Nolina texana
HC1-304,2019-HC1-304,HC1-3,HC1,HC,2019,"domingo, 27 de enero de 2019",HC-2019,DPO,1,125,30,35,1,56,10,0,0,1,1,5,GR,0,NA,30,35,0,59,10,0,0,1,0,19,70,11,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,MAHTRI,20,"Desert Holly, Chaparral Berry",Mahonia trifoliata,PROGLA,75,Honey Mesquite,Prosopis glandulosa
HC1-306,2019-HC1-306,HC1-3,HC1,HC,2019,"sábado, 26 de enero de 2019",HC-2019,DPO,1,100,32,25,1,50,5,1,0,10,0,5,GR,0,NA,68,30,1,10,20,0,0,1,0,19,85,11,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,EPHTRI,20,Mormon Tea,Ephedra trifurca,PROGLA,80,Honey Mesquite,Prosopis glandulosa
HC1-308,2019-HC1-308,HC1-3,HC1,HC,2019,"sábado, 26 de enero de 2019",HC-2019,DPO,1,100,32,30,1,60,5,0,0,1,0,1,GR,1,125,30,45,5,62,1,0,0,1,0,19,75,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,98,Honey Mesquite,Prosopis glandulosa,EPHTRI,1,Mormon Tea,Ephedra trifurca
HC2-102,2019-HC2-102,HC2-1,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,1,25,30,55,1,60,5,1,1,1,0,1,GR,0,NA,40,60,1,52,5,0,1,1,0,44,90,19,5,Hilaria sp.,NA,HS,HIL_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,100,Soaptree Yucca,Yucca elata,NA,NA,NA,NA
HC2-104,2019-HC2-104,HC2-1,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,0,NA,40,60,1,47,10,0,1,1,0,0,GR,0,NA,50,55,0,43,5,0,1,1,0,44,95,6,5,Hilaria sp.,NA,HS,HIL_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
HC2-106,2019-HC2-106,HC2-1,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,1,75,50,50,1,31,5,1,1,10,0,1,GR,0,NA,60,55,1,29,5,0,0,5,0,44,90,19,5,Hilaria sp.,NA,HS,HIL_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,80,Soaptree Yucca,Yucca elata,ACA_SP,20,Acacia,Acacia sp.
HC2-108,2019-HC2-108,HC2-1,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,5,125,10,55,1,76,5,1,1,1,0,5,GR,1,75,5,50,1,86,5,0,1,1,0,19,85,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,90,Soaptree Yucca,Yucca elata,ACA_SP,10,Acacia,Acacia sp.
HC2-202,2019-HC2-202,HC2-2,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,5,125,20,55,5,58,5,1,5,1,0,5,GR,1,75,10,60,1,77,10,0,1,0,0,19,90,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,90,Soaptree Yucca,Yucca elata,ACA_SP,5,Acacia,Acacia sp.
HC2-204,2019-HC2-204,HC2-2,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,1,75,20,45,1,61,5,1,10,1,0,5,GR,0,NA,10,55,0,84,5,0,1,0,0,19,75,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,ACA_SP,85,Acacia,Acacia sp.,YUCELA,10,Soaptree Yucca,Yucca elata
HC2-206,2019-HC2-206,HC2-2,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,5,100,20,55,1,66,5,1,1,1,0,5,GR,1,50,20,60,1,75,1,0,1,1,0,6,80,19,15,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,80,Soaptree Yucca,Yucca elata,CONERI,15,Javelina Bush,Condalia ericoides
HC2-208,2019-HC2-208,HC2-2,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,5,150,20,65,5,62,5,1,1,1,0,5,GR,1,150,30,58,1,48,20,0,0,0,0,6,85,19,10,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,90,Soaptree Yucca,Yucca elata,EPHTRI,5,Mormon Tea,Ephedra trifurca
HC2-302,2019-HC2-302,HC2-3,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,5,150,40,65,1,47,5,0,1,1,0,10,GR,1,125,20,60,1,68,5,0,5,0,0,19,70,6,25,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,ACA_SP,90,Acacia,Acacia sp.,YUCELA,5,Soaptree Yucca,Yucca elata
HC2-304,2019-HC2-304,HC2-3,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,1,100,50,55,1,41,5,0,1,1,0,1,GR,0,NA,40,55,1,56,1,0,1,1,0,44,60,56,35,Hilaria sp.,NA,HS,HIL_SP,Panicum sp.,NA,PS,PAN_SP,PROGLA,100,Honey Mesquite,Prosopis glandulosa,NA,NA,NA,NA
HC2-306,2019-HC2-306,HC2-3,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,1,125,60,60,1,31,5,0,1,1,0,1,GR,0,NA,60,55,1,32,5,0,1,1,0,44,75,56,20,Hilaria sp.,NA,HS,HIL_SP,Panicum sp.,NA,PS,PAN_SP,ACA_SP,5,Acacia,Acacia sp.,PROGLA,90,Honey Mesquite,Prosopis glandulosa
HC2-308,2019-HC2-308,HC2-3,HC2,HC,2019,"sábado, 26 de enero de 2019",HC-2019,IGONZ,1,150,40,55,5,47,5,0,1,1,0,1,GR,0,NA,30,50,1,66,1,0,1,1,0,44,60,56,35,Hilaria sp.,NA,HS,HIL_SP,Panicum sp.,NA,PS,PAN_SP,PROGLA,100,Honey Mesquite,Prosopis glandulosa,NA,NA,NA,NA
HC4-102,2019-HC4-102,HC4-1,HC4,HC,2019,"martes, 29 de enero de 2019",HC-2019,DPO,5,100,20,25,1,63,5,0,1,5,0,10,GR,0,0,5,5,1,91,1,1,0,1,0,39,96,6,5,Eriogonum sp.,NA,E2,ERI_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,50,Soaptree Yucca,Yucca elata,CONERI,30,Javelina Bush,Condalia ericoides
HC4-202,2019-HC4-202,HC4-2,HC4,HC,2019,"martes, 29 de enero de 2019",HC-2019,DPO,1,100,30,50,1,27,10,1,0,30,0,5,GR,5,100,30,50,1,24,10,0,0,30,0,19,80,11,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,KOESPI,60,Allthorn,Koeberlinia spinosa,NOLTEX,30,NA,Nolina texana
HC4-204,2019-HC4-204,HC4-2,HC4,HC,2019,"martes, 29 de enero de 2019",HC-2019,DPO,1,125,47,40,1,30,10,1,0,10,0,1,GR,1,100,50,35,1,33,5,0,0,10,0,19,95,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,MIMBIU,50,Catclaw Mimosa,Mimosa biuncifera,NOLTEX,40,NA,Nolina texana
HC4-302,2019-HC4-302,HC4-3,HC4,HC,2019,"martes, 29 de enero de 2019",HC-2019,DPO,5,75,34,40,1,20,20,0,0,20,0,5,GR,1,50,30,30,1,28,20,0,0,20,0,19,95,11,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,RHUMIC,10,Littleleaf Sumac,Rhus microphylla,NOLTEX,85,NA,Nolina texana
HC4-304,2019-HC4-304,HC4-3,HC4,HC,2019,"martes, 29 de enero de 2019",HC-2019,DPO,5,125,30,40,1,33,20,1,0,10,0,10,GR,1,100,30,30,1,36,30,1,0,1,0,19,95,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,30,Honey Mesquite,Prosopis glandulosa,YUCELA,60,Soaptree Yucca,Yucca elata
HC4-306,2019-HC4-306,HC4-3,HC4,HC,2019,"martes, 29 de enero de 2019",HC-2019,DPO,1,75,30,30,1,42,5,1,0,20,0,1,GR,1,75,20,25,1,57,1,0,0,20,0,39,55,19,40,Eriogonum sp.,NA,E2,ERI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,MIMBIU,20,Catclaw Mimosa,Mimosa biuncifera,NOLTEX,65,NA,Nolina texana
HC5-102,2019-HC5-102,HC5-1,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,75,20,45,0,72,5,1,0,1,0,1,GR,1,50,5,50,1,86,5,1,0,1,0,6,85,39,10,Aristida sp.,Aristida sp,AR,ARI_SP,Eriogonum sp.,NA,E2,ERI_SP,CONERI,90,Javelina Bush,Condalia ericoides,YUCELA,5,Soaptree Yucca,Yucca elata
HC5-104,2019-HC5-104,HC5-1,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,75,20,50,1,70,5,1,1,1,0,1,GR,1,50,5,55,0,87,5,1,0,1,0,19,60,6,35,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,5,Honey Mesquite,Prosopis glandulosa,CONERI,90,Javelina Bush,Condalia ericoides
HC5-106,2019-HC5-106,HC5-1,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,100,20,55,1,67,5,1,0,5,0,1,GR,1,50,20,50,0,73,5,0,0,1,0,19,75,6,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,10,Honey Mesquite,Prosopis glandulosa,CONERI,85,Javelina Bush,Condalia ericoides
HC5-108,2019-HC5-108,HC5-1,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,5,75,20,45,1,62,5,1,1,5,0,1,GR,0,NA,10,35,0,83,5,1,0,1,0,19,80,39,15,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Eriogonum sp.,NA,E2,ERI_SP,EPHTRI,70,Mormon Tea,Ephedra trifurca,CONERI,20,Javelina Bush,Condalia ericoides
HC5-202,2019-HC5-202,HC5-2,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,75,20,60,1,67,5,1,0,5,0,1,GR,0,NA,20,55,0,74,5,0,0,1,0,19,80,6,15,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,15,Honey Mesquite,Prosopis glandulosa,CONERI,80,Javelina Bush,Condalia ericoides
HC5-204,2019-HC5-204,HC5-2,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,75,20,65,1,62,5,1,0,10,0,1,GR,0,NA,10,60,0,69,10,1,0,10,0,19,70,6,25,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,PROGLA,5,Honey Mesquite,Prosopis glandulosa,CONERI,90,Javelina Bush,Condalia ericoides
HC5-206,2019-HC5-206,HC5-2,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,50,20,55,1,62,5,1,0,10,0,1,GR,0,NA,20,50,0,65,10,0,0,5,0,19,80,6,15,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,EPHTRI,70,Mormon Tea,Ephedra trifurca,CONERI,25,Javelina Bush,Condalia ericoides
HC5-208,2019-HC5-208,HC5-2,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,125,1,15,5,81,1,1,0,10,0,1,GR,0,NA,1,10,5,92,1,0,0,1,0,19,60,39,35,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Eriogonum sp.,NA,E2,ERI_SP,PROGLA,90,Honey Mesquite,Prosopis glandulosa,CONERI,5,Javelina Bush,Condalia ericoides
HC5-302,2019-HC5-302,HC5-3,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,10,100,30,60,0,24,5,1,0,30,0,5,GR,5,100,30,55,1,28,5,1,0,30,0,11,90,19,5,Bothriochloa sp.,NA,B6,BOT_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,OPUIMB,5,"Tree Cholla, Walkingstick Cholla",Opuntia imbricata,NOLTEX,90,NA,Nolina texana
HC5-304,2019-HC5-304,HC5-3,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,75,20,60,0,72,1,1,0,5,0,1,GR,0,NA,20,50,0,74,5,0,0,1,0,6,80,19,15,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,CONERI,90,Javelina Bush,Condalia ericoides,YUCELA,5,Soaptree Yucca,Yucca elata
HC5-306,2019-HC5-306,HC5-3,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,1,125,20,55,1,71,1,1,0,5,0,1,GR,1,50,10,45,0,82,5,1,0,1,0,19,70,39,25,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Eriogonum sp.,NA,E2,ERI_SP,CONERI,80,Javelina Bush,Condalia ericoides,YUCELA,10,Soaptree Yucca,Yucca elata
HC5-308,2019-HC5-308,HC5-3,HC5,HC,2019,"martes, 29 de enero de 2019",HC-2019,IGONZ,5,100,20,50,0,68,1,1,0,5,0,5,GR,0,NA,20,45,0,70,5,0,0,5,0,6,80,19,15,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,CONERI,80,Javelina Bush,Condalia ericoides,YUCELA,10,Soaptree Yucca,Yucca elata
HC6-102,2019-HC6-102,HC6-1,HC6,HC,2019,"jueves, 31 de enero de 2019",HC-2019,IGONZ,5,100,20,51,1,61,10,1,1,1,0,5,GR,1,75,10,60,1,85,1,1,0,1,0,19,85,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,75,Soaptree Yucca,Yucca elata,CONERI,20,Javelina Bush,Condalia ericoides
HC6-104,2019-HC6-104,HC6-1,HC6,HC,2019,"jueves, 31 de enero de 2019",HC-2019,IGONZ,1,100,10,45,1,80,5,1,1,1,0,1,GR,1,100,10,40,1,86,1,0,0,1,0,19,90,6,5,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,5,Soaptree Yucca,Yucca elata,PROGLA,90,Honey Mesquite,Prosopis glandulosa
HC6-106,2019-HC6-106,HC6-1,HC6,HC,2019,"jueves, 31 de enero de 2019",HC-2019,IGONZ,5,125,20,50,5,58,5,1,5,1,0,1,GR,1,125,20,50,1,71,5,0,1,1,0,44,70,19,25,Hilaria sp.,NA,HS,HIL_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,PROGLA,30,Honey Mesquite,Prosopis glandulosa,YUCELA,65,Soaptree Yucca,Yucca elata
HC6-108,2019-HC6-108,HC6-1,HC6,HC,2019,"jueves, 31 de enero de 2019",HC-2019,IGONZ,5,100,20,65,1,63,5,1,0,5,0,1,GR,5,75,30,70,1,52,10,1,0,1,0,19,70,44,25,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Hilaria sp.,NA,HS,HIL_SP,PROGLA,5,Honey Mesquite,Prosopis glandulosa,YUCELA,90,Soaptree Yucca,Yucca elata
